user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	aa_percent	translation_table	red_value	warnings
MAG648	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	98.1	11	0.510627821519	N/A
MAG206	d__Bacteria;p__Firmicutes_B;c__TC1;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_B;c__;o__;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	96.55	11	0.5728221445	N/A
MAG274	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	49.25	11	0.881251694703	N/A
MAG619	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__BAIKAL-G1;s__	N/A	N/A	N/A	N/A	N/A	GCA_002737305.1	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__BAIKAL-G1;s__BAIKAL-G1 sp002737305	89.05	0.63	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	55.08	11	0.957043307092	N/A
MAG445	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	94.5	11	0.848069026098	N/A
MAG739	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	94.92	11	0.866178088778	N/A
MAG712	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	77.92	11	0.864056801403	N/A
MAG182	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	58.39	11	0.86176931704	N/A
MAG507	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	75.65	11	0.859527044846	N/A
MAG263	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	78.67	11	0.858934327607	N/A
MAG057	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	86.69	11	0.856136447121	N/A
MAG583	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__;s__	Placement	taxonomic classification fully defined by topology	N/A	96.21	11	0.990974716192	N/A
MAG615	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcystaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcystaceae;g__;s__	Placement	taxonomic classification fully defined by topology	N/A	94.5	11	0.85135972723	N/A
MAG645	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Pseudanabaenales;f__Pseudanabaenaceae;g__Pseudanabaena;s__	N/A	N/A	N/A	N/A	N/A	GCA_003242085.1	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Pseudanabaenales;f__Pseudanabaenaceae;g__Pseudanabaena;s__Pseudanabaena frigida	80.19	0.48	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Pseudanabaenales;f__Pseudanabaenaceae;g__Pseudanabaena;s__	Placement	taxonomic classification fully defined by topology	GCA_002325645.1, s__Pseudanabaena sp002325645, 95.0, 80.55, 0.52; GCF_002914585.1, s__Pseudanabaena sp002914585, 95.0, 80.51, 0.51; GCF_002251945.1, s__Pseudanabaena sp002251945, 95.0, 80.25, 0.51; GCA_003249035.1, s__Pseudanabaena sp003249035, 95.0, 79.93, 0.46; GCF_001402795.1, s__Pseudanabaena sp001402795, 95.0, 79.61, 0.41; GCF_000332215.1, s__Pseudanabaena biceps, 95.0, 79.55, 0.4; GCA_003249015.1, s__Pseudanabaena sp003249015, 95.0, 79.28, 0.38; GCA_001873375.1, s__Pseudanabaena cyanobacterium, 95.0, 78.92, 0.45	95.56	11	0.975951417612	N/A
MAG748	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Pseudanabaenales;f__Pseudanabaenaceae;g__Pseudanabaena;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Pseudanabaenales;f__Pseudanabaenaceae;g__Pseudanabaena;s__	Placement	taxonomic classification fully defined by topology	GCF_002914585.1, s__Pseudanabaena sp002914585, 95.0, 81.32, 0.75; GCF_002251945.1, s__Pseudanabaena sp002251945, 95.0, 80.96, 0.76; GCA_003249035.1, s__Pseudanabaena sp003249035, 95.0, 80.63, 0.65; GCA_002325645.1, s__Pseudanabaena sp002325645, 95.0, 80.43, 0.67; GCA_003242085.1, s__Pseudanabaena frigida, 95.0, 80.07, 0.65; GCF_000332215.1, s__Pseudanabaena biceps, 95.0, 79.53, 0.62; GCF_001402795.1, s__Pseudanabaena sp001402795, 95.0, 79.4, 0.58; GCA_003249015.1, s__Pseudanabaena sp003249015, 95.0, 79.25, 0.52; GCA_001873375.1, s__Pseudanabaena cyanobacterium, 95.0, 78.97, 0.47	76.17	11	0.973183441571	N/A
MAG607	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Pseudanabaenales;f__Pseudanabaenaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Pseudanabaenales;f__Pseudanabaenaceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	94.92	11	0.815969205851	N/A
MAG118	d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	79.62	11	0.822235141578	N/A
MAG009	d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	83.97	11	0.635015813809	N/A
MAG017	d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__UBA9579;g__UBA9971;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__UBA9579;g__;s__	Placement	taxonomic novelty determined using RED	N/A	96.59	11	0.922527648578	N/A
MAG391	d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	97.12	11	0.656983173464	N/A
MAG174	d__Bacteria;p__Margulisbacteria;c__GWF2-35-9;o__GWF2-35-9;f__GWF2-35-9;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Margulisbacteria;c__GWF2-35-9;o__;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	70.56	11	0.729884291094	N/A
MAG254	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__	N/A	N/A	N/A	N/A	N/A	GCF_001053185.1	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium bohemicum	82.69	0.75	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__	Placement	taxonomic classification fully defined by topology	GCF_002086215.1, s__Mycobacterium heidelbergense, 95.0, 81.95, 0.69; GCF_002086305.1, s__Mycobacterium malmoense, 95.0, 81.74, 0.7; GCF_002101815.1, s__Mycobacterium paraense, 95.0, 81.64, 0.75; GCF_001668725.1, s__Mycobacterium sp001668725, 95.0, 81.58, 0.74; GCF_000174035.1, s__Mycobacterium avium, 96.77, 81.58, 0.66; GCF_001673535.1, s__Mycobacterium sp001673535, 95.0, 81.58, 0.71; GCF_001672915.1, s__Mycobacterium sp001672915, 95.0, 81.57, 0.71; GCF_002086635.1, s__Mycobacterium alsense, 95.0, 81.55, 0.71; GCF_001667015.1, s__Mycobacterium sp001667015, 95.0, 81.54, 0.72; GCF_001665295.1, s__Mycobacterium sp001665295, 95.0, 81.46, 0.71; GCF_001667275.1, s__Mycobacterium sp001667275, 95.0, 81.44, 0.71; GCF_000164135.1, s__Mycobacterium parascrofulaceum, 95.0, 81.44, 0.72; GCF_002102225.1, s__Mycobacterium interjectum_B, 95.0, 81.42, 0.73; GCF_001667035.1, s__Mycobacterium sp001667035, 95.0, 81.41, 0.68; GCF_900078675.2, s__Mycobacterium interjectum, 95.0, 81.41, 0.73; GCF_001667185.1, s__Mycobacterium sp001667185, 95.0, 81.4, 0.73; GCF_002101875.1, s__Mycobacterium saskatchewanense, 95.0, 81.37, 0.75; GCF_900157385.1, s__Mycobacterium sp900157385, 95.0, 81.33, 0.75; GCF_002101785.1, s__Mycobacterium palustre, 95.0, 81.29, 0.72; GCF_001667885.1, s__Mycobacterium scrofulaceum_C, 95.0, 81.26, 0.67; GCF_002086475.1, s__Mycobacterium paraseoulense, 95.0, 81.25, 0.69; GCF_000277125.1, s__Mycobacterium intracellulare, 95.0, 81.25, 0.68; GCF_001672815.1, s__Mycobacterium sp001672815, 95.0, 81.21, 0.7; GCF_002086735.1, s__Mycobacterium scrofulaceum, 95.0, 81.2, 0.71; GCA_002291465.1, s__Mycobacterium lepraemurium, 96.77, 81.19, 0.62; GCF_002102155.1, s__Mycobacterium europaeum, 95.0, 81.19, 0.71; GCF_001667735.1, s__Mycobacterium sp001667735, 95.0, 81.16, 0.68; GCF_000455205.1, s__Mycobacterium sp000455205, 95.0, 81.12, 0.71; GCF_001666835.1, s__Mycobacterium sp001666835, 95.0, 81.1, 0.68; GCF_002105755.1, s__Mycobacterium colombiense, 95.0, 81.06, 0.68; GCF_002102335.1, s__Mycobacterium parmense, 95.0, 81.06, 0.7; GCF_900240975.1, s__Mycobacterium sp900240975, 95.0, 81.06, 0.71; GCF_002102255.1, s__Mycobacterium nebraskense, 95.0, 81.05, 0.71; GCA_003284935.1, s__Mycobacterium arosiense_A, 95.0, 81.03, 0.67; GCF_001907675.1, s__Mycobacterium paraffinicum, 95.0, 81.0, 0.69; GCF_001667585.1, s__Mycobacterium sp001667585, 95.0, 80.97, 0.68; GCF_001665605.1, s__Mycobacterium sp001665605, 95.0, 80.96, 0.69; GCF_001953985.1, s__Mycobacterium colombiense_B, 95.0, 80.92, 0.67; GCF_001667315.1, s__Mycobacterium sp001667315, 95.0, 80.91, 0.65; GCF_001954275.1, s__Mycobacterium sp001954275, 95.0, 80.89, 0.67; GCF_002086345.1, s__Mycobacterium marseillense, 95.0, 80.87, 0.66; GCF_001954195.1, s__Mycobacterium sp001954195, 95.0, 80.86, 0.66; GCF_002104765.1, s__Mycobacterium vulneris, 95.0, 80.86, 0.68; GCF_001667075.1, s__Mycobacterium sp001667075, 95.0, 80.84, 0.68; GCF_001667775.1, s__Mycobacterium sp001667775, 95.0, 80.84, 0.65; GCF_001672755.1, s__Mycobacterium colombiense_C, 95.0, 80.79, 0.67; GCF_002086335.1, s__Mycobacterium mantenii, 95.0, 80.78, 0.66; GCA_003284975.1, s__Mycobacterium europaeum_A, 95.0, 80.76, 0.64; GCF_001665835.1, s__Mycobacterium colombiense_A, 95.0, 80.73, 0.67; GCF_900157375.1, s__Mycobacterium sp900157375, 95.0, 80.71, 0.67; GCF_001666755.1, s__Mycobacterium sp001666755, 95.0, 80.7, 0.65; GCF_002086125.1, s__Mycobacterium arosiense, 95.0, 80.66, 0.64; GCF_001665875.1, s__Mycobacterium sp001665875, 95.0, 80.58, 0.64; GCF_002102095.1, s__Mycobacterium conspicuum, 95.0, 80.51, 0.68; GCF_000689255.1, s__Mycobacterium triplex, 95.0, 80.48, 0.66; GCF_900157365.1, s__Mycobacterium sp900157365, 95.0, 80.35, 0.65; GCF_002101635.1, s__Mycobacterium florentinum, 95.0, 80.34, 0.65; GCF_002356315.1, s__Mycobacterium shigaense, 95.0, 80.31, 0.64; GCF_001667145.1, s__Mycobacterium sp001667145, 95.0, 80.23, 0.64; GCF_000526915.1, s__Mycobacterium genavense, 95.0, 80.22, 0.61; GCF_002102215.1, s__Mycobacterium lacus, 95.0, 80.17, 0.59; GCF_001672975.1, s__Mycobacterium sp001672975, 95.0, 80.13, 0.63; GCF_001667925.1, s__Mycobacterium sp001667925, 95.0, 80.12, 0.61; GCF_900176255.2, s__Mycobacterium ahvazicum, 95.0, 80.11, 0.65; GCF_001673555.1, s__Mycobacterium sp001673555, 95.0, 80.06, 0.6; GCF_001373395.1, s__Mycobacterium lentiflavum, 95.0, 80.01, 0.66; GCF_001665235.1, s__Mycobacterium sp001665235, 95.0, 79.96, 0.6; GCF_002101595.1, s__Mycobacterium celatum, 95.0, 79.95, 0.55; GCF_002102355.1, s__Mycobacterium sherrisii, 95.0, 79.95, 0.59; GCF_001665395.1, s__Mycobacterium sp001665395, 95.0, 79.93, 0.57; GCF_002101735.1, s__Mycobacterium kyorinense, 95.0, 79.88, 0.54; GCF_003112775.1, s__Mycobacterium montefiorense, 95.0, 79.84, 0.61; GCF_002086755.1, s__Mycobacterium shinjukuense, 95.0, 79.81, 0.55; GCF_001667115.1, s__Mycobacterium sp001667115, 95.0, 79.79, 0.58; GCF_002086155.1, s__Mycobacterium angelicum, 95.0, 79.73, 0.62; GCF_001632895.1, s__Mycobacterium kansasii_C, 95.0, 79.71, 0.59; GCF_002086575.1, s__Mycobacterium branderi, 95.0, 79.64, 0.56; GCF_002102175.1, s__Mycobacterium gastri, 95.0, 79.63, 0.57; GCA_003165155.1, s__Mycobacterium sp003165155, 95.0, 79.63, 0.57; GCF_002101745.1, s__Mycobacterium kubicae, 95.0, 79.62, 0.56; GCF_000455305.1, s__Mycobacterium simiae, 95.0, 79.61, 0.59; GCF_001632885.1, s__Mycobacterium kansasii_A, 95.0, 79.57, 0.58; GCF_002086675.1, s__Mycobacterium persicum, 95.0, 79.55, 0.58; GCF_000524055.1, s__Mycobacterium kansasii_D, 95.0, 79.54, 0.57; GCF_001673635.1, s__Mycobacterium asiaticum_C, 95.0, 79.52, 0.57; GCF_001673155.1, s__Mycobacterium sp001673155, 95.0, 79.45, 0.5; GCF_000613245.1, s__Mycobacterium asiaticum, 95.0, 79.41, 0.54; GCA_002086865.1, s__Mycobacterium kansasii_E, 95.0, 79.39, 0.54; GCF_000157895.3, s__Mycobacterium kansasii, 95.0, 79.38, 0.59; GCF_001668675.1, s__Mycobacterium asiaticum_D, 95.0, 79.31, 0.58; GCF_002116635.1, s__Mycobacterium szulgai, 95.0, 79.29, 0.59; GCF_002086275.1, s__Mycobacterium intermedium, 95.0, 79.25, 0.56; GCF_002102185.1, s__Mycobacterium fragae, 95.0, 79.21, 0.52; GCF_000195955.2, s__Mycobacterium tuberculosis, 95.0, 79.17, 0.51; GCF_002101845.1, s__Mycobacterium riyadhense, 95.0, 79.17, 0.55; GCF_002104675.1, s__Mycobacterium sp002104675, 95.0, 79.16, 0.55; GCF_000340435.2, s__Mycobacterium haemophilum, 95.0, 79.15, 0.5; GCF_001673365.1, s__Mycobacterium asiaticum_A, 95.0, 78.88, 0.53; GCF_001515365.1, s__Mycobacterium pseudoshottsii, 95.0, 78.6, 0.52	80.71	11	0.989223785644	N/A
