qseqid	sseqid	pident	evalue	qcovhsp	bitscore	staxid	ssciname	stitle	superkingdom	phylum	class	order	family	genus	species	strain
Capt_00870	gi|1296653979|ref|WP_100784183.1|	73.694	0.0	98	850	2023186	Leptospira adleri	dihydroxy-acid dehydratase [Leptospira adleri]	Bacteria	Spirochaetes	Spirochaetia	Leptospirales	Leptospiraceae	Leptospira	Leptospira adleri	
Capt_00870	gi|1614186554|ref|WP_135691398.1|	73.514	0.0	98	848	2023186	Leptospira adleri	dihydroxy-acid dehydratase [Leptospira adleri]	Bacteria	Spirochaetes	Spirochaetia	Leptospirales	Leptospiraceae	Leptospira	Leptospira adleri	
Capt_00871	gi|1545535300|ref|WP_126629355.1|	48.560	2.51e-69	96	223	2014873	Dictyobacter alpinus	WecB/TagA/CpsF family glycosyltransferase [Dictyobacter alpinus]	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Dictyobacteraceae	Dictyobacter	Dictyobacter alpinus	
Capt_00871	gi|1545432302|ref|WP_126581694.1|	47.917	1.51e-67	96	218	2014871	Tengunoibacter tsumagoiensis	WecB/TagA/CpsF family glycosyltransferase [Tengunoibacter tsumagoiensis]	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Dictyobacteraceae	Tengunoibacter	Tengunoibacter tsumagoiensis	
Capt_00871	gi|1545497205|ref|WP_126599480.1|	46.888	2.88e-66	95	215	1936993	Dictyobacter aurantiacus	WecB/TagA/CpsF family glycosyltransferase [Dictyobacter aurantiacus]	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Dictyobacteraceae	Dictyobacter	Dictyobacter aurantiacus	
Capt_00871	gi|502635699|ref|WP_012872227.1|	49.799	4.87e-66	99	215	2057	Sphaerobacter thermophilus	WecB/TagA/CpsF family glycosyltransferase [Sphaerobacter thermophilus]	Bacteria	Chloroflexi	Thermomicrobia	Sphaerobacterales	Sphaerobacteraceae	Sphaerobacter	Sphaerobacter thermophilus	
Capt_00871	gi|1545395090|ref|WP_126549578.1|	46.888	1.39e-64	95	211	2014872	Dictyobacter kobayashii	WecB/TagA/CpsF family glycosyltransferase [Dictyobacter kobayashii]	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Dictyobacteraceae	Dictyobacter	Dictyobacter kobayashii	
Capt_00872	gi|1729826459|ref|WP_148220043.1|	31.429	5.96e-14	72	79.3	2057	Sphaerobacter thermophilus	hypothetical protein [Sphaerobacter thermophilus]	Bacteria	Chloroflexi	Thermomicrobia	Sphaerobacterales	Sphaerobacteraceae	Sphaerobacter	Sphaerobacter thermophilus	
Capt_00872	gi|495752813|ref|WP_008477392.1|	27.751	8.85e-13	62	76.3	1206749	Nitrolancea hollandica	hypothetical protein [Nitrolancea hollandica]	Bacteria	Chloroflexi	Thermomicrobia	Sphaerobacterales	Sphaerobacteraceae	Nitrolancea	Nitrolancea hollandica	
Capt_00872	gi|740196708|ref|WP_038038667.1|	31.100	9.96e-13	61	75.9	1382356	Thermorudis peleae	hypothetical protein [Thermorudis peleae]	Bacteria	Chloroflexi	Thermomicrobia			Thermorudis	Thermorudis peleae	
Capt_00872	gi|1267756333|ref|WP_098503905.1|	38.462	3.13e-12	32	75.9	1495650	Thermoflexus hugenholtzii	DnaJ domain-containing protein [Thermoflexus hugenholtzii]	Bacteria	Chloroflexi	Thermoflexia	Thermoflexales	Thermoflexaceae	Thermoflexus	Thermoflexus hugenholtzii	
Capt_00873	gi|1601724621|ref|WP_134114709.1|	39.385	6.61e-80	97	255	46469	Orenia marismortui	carbohydrate kinase [Orenia marismortui]	Bacteria	Firmicutes	Clostridia	Halanaerobiales	Halobacteroidaceae	Orenia	Orenia marismortui	
Capt_00873	gi|517060394|ref|WP_018249212.1|	39.385	1.81e-79	97	254	46469	Orenia marismortui	hypothetical protein [Orenia marismortui]	Bacteria	Firmicutes	Clostridia	Halanaerobiales	Halobacteroidaceae	Orenia	Orenia marismortui	
Capt_00873	gi|1221620955|ref|WP_089750249.1|	40.187	5.91e-79	96	253	2648818	unclassified Candidatus Frackibacter	MULTISPECIES: carbohydrate kinase [unclassified Candidatus Frackibacter]	Bacteria	Firmicutes	Clostridia	Halanaerobiales	Halobacteroidaceae	Candidatus Frackibacter		
Capt_00873	gi|915332960|ref|WP_050769615.1|	42.994	2.50e-77	94	248	261685	Thermosinus carboxydivorans	carbohydrate kinase [Thermosinus carboxydivorans]	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Sporomusaceae	Thermosinus	Thermosinus carboxydivorans	
Capt_00873	gi|1225689552|ref|WP_093691476.1|	42.357	1.06e-75	94	244	608505	Sporolituus thermophilus	carbohydrate kinase [Sporolituus thermophilus]	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Sporomusaceae	Sporolituus	Sporolituus thermophilus	
Capt_00874	gi|1424141678|ref|WP_112430003.1|	55.215	5.87e-54	92	177	1825093	Thermogemmatispora tikiterensis	adenylyltransferase/cytidyltransferase family protein [Thermogemmatispora tikiterensis]	Bacteria	Chloroflexi	Ktedonobacteria	Thermogemmatisporales	Thermogemmatisporaceae	Thermogemmatispora	Thermogemmatispora tikiterensis	
Capt_00874	gi|1175291342|ref|WP_081839137.1|	53.939	2.88e-53	94	177	1382306	Thermogemmatispora carboxidivorans	adenylyltransferase/cytidyltransferase family protein [Thermogemmatispora carboxidivorans]	Bacteria	Chloroflexi	Ktedonobacteria	Thermogemmatisporales	Thermogemmatisporaceae	Thermogemmatispora	Thermogemmatispora carboxidivorans	
Capt_00874	gi|656269579|ref|WP_029215301.1|	50.307	4.48e-53	95	175	1128421	bacterium JKG1	adenylyltransferase/cytidyltransferase family protein [bacterium JKG1]	Bacteria						bacterium JKG1	
Capt_00874	gi|1610947046|ref|WP_135477102.1|	55.414	1.73e-51	91	171	2528176	Candidatus Chloroploca sp. M-50	adenylyltransferase/cytidyltransferase family protein [Candidatus Chloroploca sp. M-50]	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Oscillochloridaceae	Candidatus Chloroploca	Candidatus Chloroploca sp. M-50	
Capt_00874	gi|1258454590|ref|WP_097650995.1|	55.629	1.98e-51	88	171	1506545	Candidatus Chloroploca asiatica	adenylyltransferase/cytidyltransferase family protein [Candidatus Chloroploca asiatica]	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Oscillochloridaceae	Candidatus Chloroploca	Candidatus Chloroploca asiatica	
Capt_00875	gi|1697784468|ref|WP_141264204.1|	51.087	6.90e-19	23	95.5	2572682	Moorella sp. E308F	DUF2662 domain-containing protein [Moorella sp. E308F]	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Moorella	Moorella sp. E308F	
Capt_00875	gi|1697828769|ref|WP_141304101.1|	51.087	7.47e-19	23	95.5	2572683	Moorella sp. E306M	DUF2662 domain-containing protein [Moorella sp. E306M]	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Moorella	Moorella sp. E306M	
Capt_00875	gi|1011369751|ref|WP_062282608.1|	50.000	1.17e-17	23	92.0	202604	Moorella mulderi	DUF2662 domain-containing protein [Moorella mulderi]	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Moorella	Moorella mulderi	
Capt_00875	gi|939702159|ref|WP_054938298.1|	48.913	1.86e-17	23	91.7	44260	Moorella	MULTISPECIES: DUF2662 domain-containing protein [Moorella]	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Moorella		
Capt_00875	gi|1011527313|ref|WP_062421067.1|	39.264	2.47e-17	38	90.1	229920	Leptolinea tardivitalis	FHA domain-containing protein [Leptolinea tardivitalis]	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Leptolinea	Leptolinea tardivitalis	
Capt_00877	gi|516906916|ref|WP_018159132.1|	40.773	6.49e-39	58	151	359359	Smaragdicoccus niigatensis	glycosyltransferase [Smaragdicoccus niigatensis]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Smaragdicoccus	Smaragdicoccus niigatensis	
Capt_00877	gi|1010957262|ref|WP_061916489.1|	36.777	5.09e-37	61	147	360411	Bellilinea caldifistulae	glycosyltransferase [Bellilinea caldifistulae]	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Bellilinea	Bellilinea caldifistulae	
Capt_00877	gi|1698410399|ref|WP_141610299.1|	35.714	1.42e-35	65	143	1204385	Litorilinea aerophila	glycosyltransferase [Litorilinea aerophila]	Bacteria	Chloroflexi	Caldilineae	Caldilineales	Caldilineaceae	Litorilinea	Litorilinea aerophila	
Capt_00877	gi|1712644014|ref|WP_143773328.1|	35.448	3.79e-35	67	143	2597516	Skermania sp. ID1734	glycosyltransferase [Skermania sp. ID1734]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Gordoniaceae	Skermania	Skermania sp. ID1734	
Capt_00877	gi|916782590|ref|WP_051389646.1|	37.004	1.03e-33	56	137	189753	Bradyrhizobium sp. Ec3.3	glycosyltransferase family 2 protein [Bradyrhizobium sp. Ec3.3]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. Ec3.3	
Capt_00879	gi|1486714989|ref|WP_120200874.1|	67.296	5.86e-72	98	223	2249217	Corallococcus sp. H22C18031201	N-acetyltransferase [Corallococcus sp. H22C18031201]	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	Corallococcus	Corallococcus sp. H22C18031201	
Capt_00879	gi|1390589648|ref|WP_109101309.1|	63.415	3.84e-70	100	218	2172652	Caulobacter sp. 774	N-acetyltransferase [Caulobacter sp. 774]	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	Caulobacter sp. 774	
Capt_00879	gi|1011177668|ref|WP_062098797.1|	62.195	5.57e-70	100	218	2648921	unclassified Caulobacter	MULTISPECIES: N-acetyltransferase [unclassified Caulobacter]	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter		
Capt_00879	gi|495185329|ref|WP_007910119.1|	63.190	2.34e-69	100	216	363277	Ktedonobacter racemifer	N-acetyltransferase [Ktedonobacter racemifer]	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	Ktedonobacter	Ktedonobacter racemifer	
Capt_00879	gi|1545535878|ref|WP_126629933.1|	61.728	7.47e-69	99	215	2014873	Dictyobacter alpinus	N-acetyltransferase [Dictyobacter alpinus]	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Dictyobacteraceae	Dictyobacter	Dictyobacter alpinus	
Capt_00881	gi|1261308362|ref|WP_097835039.1|	36.095	4.50e-23	84	99.8	64104	Bacillus pseudomycoides	GNAT family N-acetyltransferase [Bacillus pseudomycoides]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus pseudomycoides	
Capt_00881	gi|1717973623|ref|WP_144485725.1|	34.783	7.77e-23	83	99.4	561879	Bacillus safensis	GNAT family N-acetyltransferase [Bacillus safensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus safensis	
Capt_00881	gi|1717958619|ref|WP_144472448.1|	34.783	1.05e-22	83	99.0	561879	Bacillus safensis	GNAT family N-acetyltransferase [Bacillus safensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus safensis	
Capt_00881	gi|1718008190|ref|WP_144504246.1|	34.682	1.92e-22	84	98.2	1405	Bacillus mycoides	GNAT family N-acetyltransferase [Bacillus mycoides]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus mycoides	
Capt_00881	gi|1267330136|ref|WP_098173292.1|	33.728	2.06e-22	84	97.8	64104	Bacillus pseudomycoides	GNAT family N-acetyltransferase [Bacillus pseudomycoides]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus pseudomycoides	
Capt_00882	gi|919590115|ref|WP_052887868.1|	59.318	0.0	98	1065	1382306	Thermogemmatispora carboxidivorans	leucine--tRNA ligase [Thermogemmatispora carboxidivorans]	Bacteria	Chloroflexi	Ktedonobacteria	Thermogemmatisporales	Thermogemmatisporaceae	Thermogemmatispora	Thermogemmatispora carboxidivorans	
Capt_00882	gi|1407843105|ref|WP_111318934.1|	60.727	0.0	98	1064	644383	Thermosporothrix hazakensis	leucine--tRNA ligase [Thermosporothrix hazakensis]	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Thermosporotrichaceae	Thermosporothrix	Thermosporothrix hazakensis	
Capt_00882	gi|1424140965|ref|WP_112429290.1|	60.171	0.0	98	1063	1825093	Thermogemmatispora tikiterensis	leucine--tRNA ligase [Thermogemmatispora tikiterensis]	Bacteria	Chloroflexi	Ktedonobacteria	Thermogemmatisporales	Thermogemmatisporaceae	Thermogemmatispora	Thermogemmatispora tikiterensis	
Capt_00882	gi|1071371818|ref|WP_069804326.1|	58.831	0.0	98	1061	732234	Thermogemmatispora onikobensis	leucine--tRNA ligase [Thermogemmatispora onikobensis]	Bacteria	Chloroflexi	Ktedonobacteria	Thermogemmatisporales	Thermogemmatisporaceae	Thermogemmatispora	Thermogemmatispora onikobensis	
Capt_00882	gi|1545397072|ref|WP_126551472.1|	60.558	0.0	98	1055	2014872	Dictyobacter kobayashii	leucine--tRNA ligase [Dictyobacter kobayashii]	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Dictyobacteraceae	Dictyobacter	Dictyobacter kobayashii	
Capt_00883	gi|1180576250|ref|WP_084062520.1|	35.859	1.70e-32	86	126	348840	Desulfofundulus thermosubterraneus	GNAT family N-acetyltransferase [Desulfofundulus thermosubterraneus]	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Desulfofundulus	Desulfofundulus thermosubterraneus	
Capt_00883	gi|1601824697|ref|WP_134212803.1|	40.107	3.76e-32	81	125	258475	Pelotomaculum propionicicum	GNAT family N-acetyltransferase [Pelotomaculum propionicicum]	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Pelotomaculum	Pelotomaculum propionicicum	
Capt_00883	gi|1493455589|ref|WP_121452464.1|	36.275	5.39e-32	88	125	2419843	Desulfofundulus salinum	GNAT family N-acetyltransferase [Desulfofundulus salinum]	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Desulfofundulus	Desulfofundulus salinum	
Capt_00883	gi|1493453515|ref|WP_121450390.1|	35.859	1.11e-31	86	124	2419843	Desulfofundulus salinum	GNAT family N-acetyltransferase [Desulfofundulus salinum]	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Desulfofundulus	Desulfofundulus salinum	
Capt_00883	gi|1723619582|ref|WP_146747106.1|	38.191	1.28e-31	86	132	1825093	Thermogemmatispora tikiterensis	GNAT family N-acetyltransferase [Thermogemmatispora tikiterensis]	Bacteria	Chloroflexi	Ktedonobacteria	Thermogemmatisporales	Thermogemmatisporaceae	Thermogemmatispora	Thermogemmatispora tikiterensis	
Capt_00884	gi|1525662206|ref|WP_124328293.1|	27.822	4.46e-24	66	116	45657	Desulfonema ishimotonii	phospholipid carrier-dependent glycosyltransferase [Desulfonema ishimotonii]	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfonema	Desulfonema ishimotonii	
Capt_00884	gi|936187503|ref|WP_054521754.1|	28.337	1.83e-21	77	108	869279	Thermanaerothrix daxensis	hypothetical protein [Thermanaerothrix daxensis]	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Thermanaerothrix	Thermanaerothrix daxensis	
Capt_00884	gi|519059068|ref|WP_020214943.1|	30.400	1.71e-18	45	100	498301	Flavobacterium rivuli	hypothetical protein [Flavobacterium rivuli]	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium rivuli	
Capt_00884	gi|1176554968|ref|WP_082381959.1|	30.491	1.40e-17	68	97.8	872965	Ardenticatena maritima	hypothetical protein [Ardenticatena maritima]	Bacteria	Chloroflexi	Ardenticatenia	Ardenticatenales	Ardenticatenaceae	Ardenticatena	Ardenticatena maritima	
Capt_00884	gi|1176547196|ref|WP_082374187.1|	32.188	2.37e-17	58	97.1	872965	Ardenticatena maritima	hypothetical protein, partial [Ardenticatena maritima]	Bacteria	Chloroflexi	Ardenticatenia	Ardenticatenales	Ardenticatenaceae	Ardenticatena	Ardenticatena maritima	
Capt_00885	gi|504619428|ref|WP_014806530.1|	63.354	2.85e-141	97	412	49894	Acetomicrobium	MULTISPECIES: class II fructose-bisphosphatase [Acetomicrobium]	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	Acetomicrobium		
Capt_00885	gi|1212020972|ref|WP_088571266.1|	62.385	1.25e-140	98	410	1495650	Thermoflexus hugenholtzii	class II fructose-bisphosphatase [Thermoflexus hugenholtzii]	Bacteria	Chloroflexi	Thermoflexia	Thermoflexales	Thermoflexaceae	Thermoflexus	Thermoflexus hugenholtzii	
Capt_00885	gi|759546068|ref|WP_043265889.1|	58.485	1.42e-138	99	405	1553907	Streptomyces sp. CT34	class II fructose-bisphosphatase [Streptomyces sp. CT34]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. CT34	
Capt_00885	gi|503929234|ref|WP_014163228.1|	62.963	2.32e-138	97	404	336261	Thermovirga lienii	class II fructose-bisphosphatase [Thermovirga lienii]	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	Thermovirga	Thermovirga lienii	
Capt_00885	gi|493631544|ref|WP_006583429.1|	60.870	3.83e-138	97	404	108007	Thermanaerovibrio velox	class II fructose-bisphosphatase [Thermanaerovibrio velox]	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	Thermanaerovibrio	Thermanaerovibrio velox	
Capt_00886	gi|1698409068|ref|WP_141608968.1|	26.377	3.21e-21	70	108	1204385	Litorilinea aerophila	LysM peptidoglycan-binding domain-containing protein [Litorilinea aerophila]	Bacteria	Chloroflexi	Caldilineae	Caldilineales	Caldilineaceae	Litorilinea	Litorilinea aerophila	
Capt_00886	gi|1236892547|ref|WP_095043309.1|	29.412	3.12e-18	54	97.8	1806508	Candidatus Promineofilum breve	hypothetical protein [Candidatus Promineofilum breve]	Bacteria	Chloroflexi	Ardenticatenia	Ardenticatenales	Ardenticatenaceae	Candidatus Promineofilum	Candidatus Promineofilum breve	
Capt_00886	gi|983535759|ref|WP_060687385.1|	26.044	1.68e-15	83	89.4	872965	Ardenticatena maritima	hypothetical protein [Ardenticatena maritima]	Bacteria	Chloroflexi	Ardenticatenia	Ardenticatenales	Ardenticatenaceae	Ardenticatena	Ardenticatena maritima	
Capt_00886	gi|1180338586|ref|WP_083857389.1|	26.394	2.79e-13	54	84.0	133453	Caldilinea aerophila	LysM peptidoglycan-binding domain-containing protein [Caldilinea aerophila]	Bacteria	Chloroflexi	Caldilineae	Caldilineales	Caldilineaceae	Caldilinea	Caldilinea aerophila	
Capt_00887	gi|1435920028|ref|WP_114608437.1|	30.145	7.88e-76	96	265	2045206	Prosthecochloris sp. ZM_2	photosystem I reaction center subunit IX [Prosthecochloris sp. ZM_2]	Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Prosthecochloris	Prosthecochloris sp. ZM_2	
Capt_00887	gi|1071378570|ref|WP_069810776.1|	29.883	1.01e-75	96	265	274537	Chlorobaculum limnaeum	photosystem I reaction center subunit IX [Chlorobaculum limnaeum]	Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chlorobaculum	Chlorobaculum limnaeum	
Capt_00887	gi|500064209|ref|WP_011744126.1|	30.643	5.58e-75	95	263	1096	Chlorobium phaeobacteroides	photosystem I reaction center subunit IX [Chlorobium phaeobacteroides]	Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chlorobium	Chlorobium phaeobacteroides	
Capt_00887	gi|1589935119|ref|WP_131354991.1|	30.312	2.78e-74	93	261	2491138	Chlorobium sp. N1	photosystem I reaction center subunit IX [Chlorobium sp. N1]	Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chlorobium	Chlorobium sp. N1	
Capt_00887	gi|499680655|ref|WP_011361389.1|	29.685	4.46e-74	93	260	337090	Chlorobium chlorochromatii	photosystem I reaction center subunit IX [Chlorobium chlorochromatii]	Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chlorobium	Chlorobium chlorochromatii	
Capt_00888	gi|1719852290|ref|WP_145916331.1|	25.753	4.56e-53	97	206	83986	Methanoculleus bourgensis	hypothetical protein [Methanoculleus bourgensis]	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanoculleus	Methanoculleus bourgensis	
Capt_00888	gi|1680422437|ref|WP_139088700.1|	26.301	3.75e-44	97	180	104176	Oscillochloris trichoides	hypothetical protein [Oscillochloris trichoides]	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Oscillochloridaceae	Oscillochloris	Oscillochloris trichoides	
Capt_00888	gi|851294774|ref|WP_048158247.1|	23.562	3.87e-42	98	174	1434099	Methanosarcina sp. Kolksee	hypothetical protein [Methanosarcina sp. Kolksee]	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina sp. Kolksee	
Capt_00888	gi|1240481829|ref|WP_095645531.1|	23.720	4.20e-42	97	174	1036679	Methanosarcina spelaei	hypothetical protein [Methanosarcina spelaei]	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina spelaei	
Capt_00888	gi|1258434208|ref|WP_097642638.1|	28.673	1.05e-41	93	173	2024553	Candidatus Viridilinea mediisalina	hypothetical protein [Candidatus Viridilinea mediisalina]	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Oscillochloridaceae	Candidatus Viridilinea	Candidatus Viridilinea mediisalina	
Capt_00889	gi|763420605|ref|WP_044276474.1|	29.024	1.02e-31	75	136	133453	Caldilinea aerophila	hypothetical protein [Caldilinea aerophila]	Bacteria	Chloroflexi	Caldilineae	Caldilineales	Caldilineaceae	Caldilinea	Caldilinea aerophila	
Capt_00889	gi|1236891442|ref|WP_095042204.1|	27.778	2.51e-30	83	134	1806508	Candidatus Promineofilum breve	hypothetical protein [Candidatus Promineofilum breve]	Bacteria	Chloroflexi	Ardenticatenia	Ardenticatenales	Ardenticatenaceae	Candidatus Promineofilum	Candidatus Promineofilum breve	
Capt_00889	gi|1176547125|ref|WP_082374116.1|	26.484	1.47e-25	84	119	872965	Ardenticatena maritima	hypothetical protein [Ardenticatena maritima]	Bacteria	Chloroflexi	Ardenticatenia	Ardenticatenales	Ardenticatenaceae	Ardenticatena	Ardenticatena maritima	
Capt_00889	gi|1212020248|ref|WP_088570542.1|	27.381	4.84e-21	80	105	1495650	Thermoflexus hugenholtzii	hypothetical protein [Thermoflexus hugenholtzii]	Bacteria	Chloroflexi	Thermoflexia	Thermoflexales	Thermoflexaceae	Thermoflexus	Thermoflexus hugenholtzii	
Capt_00889	gi|655011064|ref|WP_028460135.1|	29.377	6.83e-21	65	105	867845	Chloroflexus sp. Y-396-1	hypothetical protein [Chloroflexus sp. Y-396-1]	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Chloroflexaceae	Chloroflexus	Chloroflexus sp. Y-396-1	
