gene	subject_name	sseqid	whole_genome_used
bchL	Gloeomargarita_lithophora_Alchichica-D10	WP_071455381.1	yes
bchB	Gloeomargarita_lithophora_Alchichica-D10	WP_071455498.1	yes
bchN	Gloeomargarita_lithophora_Alchichica-D10	WP_071455383.1	yes
bchL	Halorhodospira_halophila_SL1	WP_011814420.1	yes
bchB	Halorhodospira_halophila_SL1	WP_011814422.1	yes
bchN	Halorhodospira_halophila_SL1	WP_011814423.1	yes
bchL	Heliobacterium_modesticaldum_Ice1	WP_012282383.1	yes
bchB	Heliobacterium_modesticaldum_Ice1	WP_049754052.1	yes
bchN	Heliobacterium_modesticaldum_Ice1	WP_012282384.1	yes
bchL	Methyloversatilis_universalis_FAM5	WP_051165417.1	yes
bchB	Methyloversatilis_universalis_FAM5	WP_008064790.1	yes
bchN	Methyloversatilis_universalis_FAM5	WP_008064792.1	yes
bchL	Microcystis_aeruginosa_NIES-843	WP_002759152.1	yes
bchB	Microcystis_aeruginosa_NIES-843	WP_002796162.1	yes
bchN	Microcystis_aeruginosa_NIES-843	WP_002740797.1	yes
bchL	Mongoliimonas_terrestris_MIMtkB18	WP_075217394.1	yes
bchB	Mongoliimonas_terrestris_MIMtkB18	WP_075217392.1	yes
bchN	Mongoliimonas_terrestris_MIMtkB18	WP_075217391.1	yes
bchL	Neosynechococcus_sphagnicola_sy1	WP_036534198.1	yes
bchB	Neosynechococcus_sphagnicola_sy1	WP_036530573.1	yes
bchN	Neosynechococcus_sphagnicola_sy1	WP_036534200.1	yes
bchL	Nevskia_ramosa_DSM_11499	WP_051144305.1	yes
bchB	Nevskia_ramosa_DSM_11499	WP_022975024.1	yes
bchN	Nevskia_ramosa_DSM_11499	WP_022975025.1	yes
bchL	Nostoc_punctiforme_PCC_73102	WP_012410753.1	yes
bchB	Nostoc_punctiforme_PCC_73102	WP_012411233.1	yes
bchN	Nostoc_punctiforme_PCC_73102	WP_012410751.1	yes
bchL	Oceanibaculum_indicum_P24	WP_008944415.1	yes
bchB	Oceanibaculum_indicum_P24	WP_008944413.1	yes
bchN	Oceanibaculum_indicum_P24	WP_156816245.1	yes
bchL	Oscillatoria_acuminata_PCC_6304	WP_071884374.1	yes
bchB	Oscillatoria_acuminata_PCC_6304	WP_015150894.1	yes
bchN	Oscillatoria_acuminata_PCC_6304	WP_015146615.1	yes
bchL	Oscillatoria_nigro-viridis_PCC_7112	WP_015178522.1	yes
bchB	Oscillatoria_nigro-viridis_PCC_7112	WP_015178564.1	yes
bchN	Oscillatoria_nigro-viridis_PCC_7112	WP_150111694.1	yes
bchL	Oscillochloris_trichoides_DG-6	WP_044200325.1	yes
bchB	Oscillochloris_trichoides_DG-6	WP_006561925.1	yes
bchN	Oscillochloris_trichoides_DG-6	WP_044200323.1	yes
bchL	Prochlorococcus_marinus_subsp_marinus_str_CCMP1375	NP_874937.1	yes
bchB	Prochlorococcus_marinus_subsp_marinus_str_CCMP1375	NP_874938.1	yes
bchN	Prochlorococcus_marinus_subsp_marinus_str_CCMP1375	NP_874939.1	yes
bchL	Prochlorothrix_hollandica_PCC_9006	WP_017712249.1	yes
bchB	Prochlorothrix_hollandica_PCC_9006	WP_016923754.1	yes
bchN	Prochlorothrix_hollandica_PCC_9006	WP_017712250.1	yes
bchL	Prosthecochloris_aestuarii_DSM_271	WP_012506570.1	yes
bchB	Prosthecochloris_aestuarii_DSM_271	WP_012506571.1	yes
bchN	Prosthecochloris_aestuarii_DSM_271	WP_012506572.1	yes
bchL	Prosthecochloris_marina_V1	WP_110022500.1	yes
bchB	Prosthecochloris_marina_V1	WP_110022501.1	yes
bchN	Prosthecochloris_marina_V1	WP_110022686.1	yes
bchL	Prosthecochloris_sp_CIB_2401	WP_068867948.1	yes
bchB	Prosthecochloris_sp_CIB_2401	WP_068867949.1	yes
bchN	Prosthecochloris_sp_CIB_2401	WP_068867950.1	yes
bchL	Prosthecochloris_sp_GSB1	WP_094083359.1	yes
bchB	Prosthecochloris_sp_GSB1	WP_094083360.1	yes
bchN	Prosthecochloris_sp_GSB1	WP_094083361.1	yes
bchL	Pseudohaliea_rubra_DSM_19751	WP_035516576.1	yes
bchB	Pseudohaliea_rubra_DSM_19751	WP_035516580.1	yes
bchN	Pseudohaliea_rubra_DSM_19751	WP_035516582.1	yes
bchL	Rhodoblastus_acidophilus_DSM_137	WP_088521707.1	yes
bchB	Rhodoblastus_acidophilus_DSM_137	WP_088521708.1	yes
bchN	Rhodoblastus_acidophilus_DSM_137	WP_088521709.1	yes
bchL	Rhodoferax_fermentans_JCM_7819	WP_078363850.1	yes
bchB	Rhodoferax_fermentans_JCM_7819	WP_078363848.1	yes
bchN	Rhodoferax_fermentans_JCM_7819	WP_078363847.1	yes
bchL	Rhodomicrobium_vannielii_ATCC_17100	WP_155942539.1	yes
bchB	Rhodomicrobium_vannielii_ATCC_17100	WP_013418675.1	yes
bchN	Rhodomicrobium_vannielii_ATCC_17100	WP_013418676.1	yes
bchL	Rhodospirillum_rubrum_ATCC_11170	YP_425711.1	yes
bchB	Rhodospirillum_rubrum_ATCC_11170	YP_425713.1	yes
bchN	Rhodospirillum_rubrum_ATCC_11170	YP_425714.1	yes
bchL	Rhodovibrio_salinarum_DSM_9154	WP_027289270.1	yes
bchB	Rhodovibrio_salinarum_DSM_9154	WP_027289268.1	yes
bchN	Rhodovibrio_salinarum_DSM_9154	WP_081728478.1	yes
bchL	Roseiflexus_castenholzii_DSM_13941	WP_012120059.1	yes
bchB	Roseiflexus_castenholzii_DSM_13941	WP_012120058.1	yes
bchN	Roseiflexus_castenholzii_DSM_13941	WP_012120057.1	yes
bchL	Roseiflexus_sp_RS-1	WP_011956643.1	yes
bchB	Roseiflexus_sp_RS-1	WP_011956644.1	yes
bchN	Roseiflexus_sp_RS-1	WP_011956645.1	yes
bchL	Roseobacter_litoralis_Och_149	WP_013984628.1	yes
bchB	Roseobacter_litoralis_Och_149	WP_013984626.1	yes
bchN	Roseobacter_litoralis_Och_149	WP_013984625.1	yes
bchL	Rubritepida_flocculans_DSM_14296	WP_051213198.1	yes
bchB	Rubritepida_flocculans_DSM_14296	WP_027285639.1	yes
bchN	Rubritepida_flocculans_DSM_14296	WP_027285640.1	yes
bchL	Scytonema_hofmannii_PCC_7110	WP_081403136.1	yes
bchB	Scytonema_hofmannii_PCC_7110	WP_066612921.1	yes
bchN	Scytonema_hofmannii_PCC_7110	WP_017744459.1	yes
bchL	Spirulina_major_PCC_6313	WP_072623045.1	yes
bchB	Spirulina_major_PCC_6313	WP_072620172.1	yes
bchN	Spirulina_major_PCC_6313	WP_072620452.1	yes
bchL	Stanieria_cyanosphaera_PCC_7437	WP_041620182.1	yes
bchB	Stanieria_cyanosphaera_PCC_7437	WP_015194304.1	yes
bchN	Stanieria_cyanosphaera_PCC_7437	WP_015194914.1	yes
bchL	Stappia_stellulata_DSM_5886	WP_029059934.1	yes
bchB	Stappia_stellulata_DSM_5886	WP_029059936.1	yes
bchN	Stappia_stellulata_DSM_5886	WP_029059937.1	yes
bchL	Synechococcus_elongatus_PCC_6301	WP_011242451.1	yes
bchB	Synechococcus_elongatus_PCC_6301	WP_011244566.1	yes
bchN	Synechococcus_elongatus_PCC_6301	WP_011242450.1	yes
bchL	Thalassobaculum_litoreum_DSM_18839	WP_051244858.1	yes
bchB	Thalassobaculum_litoreum_DSM_18839	WP_093148334.1	yes
bchN	Thalassobaculum_litoreum_DSM_18839	WP_093148332.1	yes
bchL	Thiocapsa_sp_KS1	WP_093192190.1	yes
bchB	Thiocapsa_sp_KS1	WP_093192188.1	yes
bchN	Thiocapsa_sp_KS1	WP_093189798.1	yes
bchL	Thiorhodospira_sibirica_ATCC_700588	WP_006786587.1	yes
bchB	Thiorhodospira_sibirica_ATCC_700588	WP_006786589.1	yes
bchN	Thiorhodospira_sibirica_ATCC_700588	WP_006786590.1	yes
bchL	Heliobacterium_gestii	WP_161261369.1	no
bchB	Heliobacterium_gestii	WP_161261367.1	no
bchN	Heliobacterium_gestii	WP_161261368.1	no
bchL	Heliobacillus_mobilis	WP_155475593.1	no
bchB	Heliobacillus_mobilis	WP_155475595.1	no
bchN	Heliobacillus_mobilis	WP_155475594.1	no
bchL	Vulcanimicrobium_alpinus_WC8-2	BDE07304.1	yes
bchB	Vulcanimicrobium_alpinus_WC8-2	BDE07333.1	yes
bchN	Vulcanimicrobium_alpinus_WC8-2	BDE07332.1	yes
