gene	subject_name	sseqid	whole_genome_used
bchL	Gloeomargarita_lithophora_Alchichica-D10	WP_071455381.1	yes
bchB	Gloeomargarita_lithophora_Alchichica-D10	WP_071455498.1	yes
bchN	Gloeomargarita_lithophora_Alchichica-D10	WP_071455383.1	yes
bchL	Halorhodospira_halophila_SL1	WP_011814420.1	yes
bchB	Halorhodospira_halophila_SL1	WP_011814422.1	yes
bchN	Halorhodospira_halophila_SL1	WP_011814423.1	yes
bchL	Heliobacterium_modesticaldum_Ice1	WP_012282383.1	yes
bchB	Heliobacterium_modesticaldum_Ice1	WP_049754052.1	yes
bchN	Heliobacterium_modesticaldum_Ice1	WP_012282384.1	yes
bchL	Methyloversatilis_universalis_FAM5	WP_051165417.1	yes
bchB	Methyloversatilis_universalis_FAM5	WP_008064790.1	yes
bchN	Methyloversatilis_universalis_FAM5	WP_008064792.1	yes
bchL	Microcystis_aeruginosa_NIES-843	WP_002759152.1	yes
bchB	Microcystis_aeruginosa_NIES-843	WP_002796162.1	yes
bchN	Microcystis_aeruginosa_NIES-843	WP_002740797.1	yes
bchL	Mongoliimonas_terrestris_MIMtkB18	WP_075217394.1	yes
bchB	Mongoliimonas_terrestris_MIMtkB18	WP_075217392.1	yes
bchN	Mongoliimonas_terrestris_MIMtkB18	WP_075217391.1	yes
bchL	Neosynechococcus_sphagnicola_sy1	WP_036534198.1	yes
bchB	Neosynechococcus_sphagnicola_sy1	WP_036530573.1	yes
bchN	Neosynechococcus_sphagnicola_sy1	WP_036534200.1	yes
bchL	Nevskia_ramosa_DSM_11499	WP_051144305.1	yes
bchB	Nevskia_ramosa_DSM_11499	WP_022975024.1	yes
bchN	Nevskia_ramosa_DSM_11499	WP_022975025.1	yes
bchL	Nostoc_punctiforme_PCC_73102	WP_012410753.1	yes
bchB	Nostoc_punctiforme_PCC_73102	WP_012411233.1	yes
bchN	Nostoc_punctiforme_PCC_73102	WP_012410751.1	yes
bchL	Oceanibaculum_indicum_P24	WP_008944415.1	yes
bchB	Oceanibaculum_indicum_P24	WP_008944413.1	yes
bchN	Oceanibaculum_indicum_P24	WP_156816245.1	yes
bchL	Oscillatoria_acuminata_PCC_6304	WP_071884374.1	yes
bchB	Oscillatoria_acuminata_PCC_6304	WP_015150894.1	yes
bchN	Oscillatoria_acuminata_PCC_6304	WP_015146615.1	yes
bchL	Oscillatoria_nigro-viridis_PCC_7112	WP_015178522.1	yes
bchB	Oscillatoria_nigro-viridis_PCC_7112	WP_015178564.1	yes
bchN	Oscillatoria_nigro-viridis_PCC_7112	WP_150111694.1	yes
bchL	Oscillochloris_trichoides_DG-6	WP_044200325.1	yes
bchB	Oscillochloris_trichoides_DG-6	WP_006561925.1	yes
bchN	Oscillochloris_trichoides_DG-6	WP_044200323.1	yes
bchL	Prochlorococcus_marinus_subsp_marinus_str_CCMP1375	NP_874937.1	yes
bchB	Prochlorococcus_marinus_subsp_marinus_str_CCMP1375	NP_874938.1	yes
bchN	Prochlorococcus_marinus_subsp_marinus_str_CCMP1375	NP_874939.1	yes
bchL	Prochlorothrix_hollandica_PCC_9006	WP_017712249.1	yes
bchB	Prochlorothrix_hollandica_PCC_9006	WP_016923754.1	yes
bchN	Prochlorothrix_hollandica_PCC_9006	WP_017712250.1	yes
bchL	Prosthecochloris_aestuarii_DSM_271	WP_012506570.1	yes
bchB	Prosthecochloris_aestuarii_DSM_271	WP_012506571.1	yes
bchN	Prosthecochloris_aestuarii_DSM_271	WP_012506572.1	yes
bchL	Prosthecochloris_marina_V1	WP_110022500.1	yes
bchB	Prosthecochloris_marina_V1	WP_110022501.1	yes
bchN	Prosthecochloris_marina_V1	WP_110022686.1	yes
bchL	Prosthecochloris_sp_CIB_2401	WP_068867948.1	yes
bchB	Prosthecochloris_sp_CIB_2401	WP_068867949.1	yes
bchN	Prosthecochloris_sp_CIB_2401	WP_068867950.1	yes
bchL	Prosthecochloris_sp_GSB1	WP_094083359.1	yes
bchB	Prosthecochloris_sp_GSB1	WP_094083360.1	yes
bchN	Prosthecochloris_sp_GSB1	WP_094083361.1	yes
bchL	Pseudohaliea_rubra_DSM_19751	WP_035516576.1	yes
bchB	Pseudohaliea_rubra_DSM_19751	WP_035516580.1	yes
bchN	Pseudohaliea_rubra_DSM_19751	WP_035516582.1	yes
bchL	Rhodoblastus_acidophilus_DSM_137	WP_088521707.1	yes
bchB	Rhodoblastus_acidophilus_DSM_137	WP_088521708.1	yes
bchN	Rhodoblastus_acidophilus_DSM_137	WP_088521709.1	yes
bchL	Rhodoferax_fermentans_JCM_7819	WP_078363850.1	yes
bchB	Rhodoferax_fermentans_JCM_7819	WP_078363848.1	yes
bchN	Rhodoferax_fermentans_JCM_7819	WP_078363847.1	yes
bchL	Rhodomicrobium_vannielii_ATCC_17100	WP_155942539.1	yes
bchB	Rhodomicrobium_vannielii_ATCC_17100	WP_013418675.1	yes
bchN	Rhodomicrobium_vannielii_ATCC_17100	WP_013418676.1	yes
bchL	Rhodospirillum_rubrum_ATCC_11170	YP_425711.1	yes
bchB	Rhodospirillum_rubrum_ATCC_11170	YP_425713.1	yes
bchN	Rhodospirillum_rubrum_ATCC_11170	YP_425714.1	yes
bchL	Rhodovibrio_salinarum_DSM_9154	WP_027289270.1	yes
bchB	Rhodovibrio_salinarum_DSM_9154	WP_027289268.1	yes
bchN	Rhodovibrio_salinarum_DSM_9154	WP_081728478.1	yes
bchL	Roseiflexus_castenholzii_DSM_13941	WP_012120059.1	yes
bchB	Roseiflexus_castenholzii_DSM_13941	WP_012120058.1	yes
bchN	Roseiflexus_castenholzii_DSM_13941	WP_012120057.1	yes
bchL	Roseiflexus_sp_RS-1	WP_011956643.1	yes
bchB	Roseiflexus_sp_RS-1	WP_011956644.1	yes
bchN	Roseiflexus_sp_RS-1	WP_011956645.1	yes
bchL	Roseobacter_litoralis_Och_149	WP_013984628.1	yes
bchB	Roseobacter_litoralis_Och_149	WP_013984626.1	yes
bchN	Roseobacter_litoralis_Och_149	WP_013984625.1	yes
bchL	Rubritepida_flocculans_DSM_14296	WP_051213198.1	yes
bchB	Rubritepida_flocculans_DSM_14296	WP_027285639.1	yes
bchN	Rubritepida_flocculans_DSM_14296	WP_027285640.1	yes
bchL	Scytonema_hofmannii_PCC_7110	WP_081403136.1	yes
bchB	Scytonema_hofmannii_PCC_7110	WP_066612921.1	yes
bchN	Scytonema_hofmannii_PCC_7110	WP_017744459.1	yes
bchL	Spirulina_major_PCC_6313	WP_072623045.1	yes
bchB	Spirulina_major_PCC_6313	WP_072620172.1	yes
bchN	Spirulina_major_PCC_6313	WP_072620452.1	yes
bchL	Stanieria_cyanosphaera_PCC_7437	WP_041620182.1	yes
bchB	Stanieria_cyanosphaera_PCC_7437	WP_015194304.1	yes
bchN	Stanieria_cyanosphaera_PCC_7437	WP_015194914.1	yes
bchL	Stappia_stellulata_DSM_5886	WP_029059934.1	yes
bchB	Stappia_stellulata_DSM_5886	WP_029059936.1	yes
bchN	Stappia_stellulata_DSM_5886	WP_029059937.1	yes
bchL	Synechococcus_elongatus_PCC_6301	WP_011242451.1	yes
bchB	Synechococcus_elongatus_PCC_6301	WP_011244566.1	yes
bchN	Synechococcus_elongatus_PCC_6301	WP_011242450.1	yes
bchL	Thalassobaculum_litoreum_DSM_18839	WP_051244858.1	yes
bchB	Thalassobaculum_litoreum_DSM_18839	WP_093148334.1	yes
bchN	Thalassobaculum_litoreum_DSM_18839	WP_093148332.1	yes
bchL	Thiocapsa_sp_KS1	WP_093192190.1	yes
bchB	Thiocapsa_sp_KS1	WP_093192188.1	yes
bchN	Thiocapsa_sp_KS1	WP_093189798.1	yes
bchL	Thiorhodospira_sibirica_ATCC_700588	WP_006786587.1	yes
bchB	Thiorhodospira_sibirica_ATCC_700588	WP_006786589.1	yes
bchN	Thiorhodospira_sibirica_ATCC_700588	WP_006786590.1	yes
bchL	Heliobacterium_gestii	WP_161261369.1	no
bchB	Heliobacterium_gestii	WP_161261367.1	no
bchN	Heliobacterium_gestii	WP_161261368.1	no
bchL	Heliobacillus_mobilis	WP_155475593.1	no
bchB	Heliobacillus_mobilis	WP_155475595.1	no
bchN	Heliobacillus_mobilis	WP_155475594.1	no
bchX	Afifella_marina_DSM_2698	WP_092815365.1	yes
bchY	Afifella_marina_DSM_2698	WP_092815362.1	yes
bchZ	Afifella_marina_DSM_2698	WP_092814999.1	yes
bchX	Aquidulcibacter_paucihalophilus_TH1-2	WP_085338183.1	yes
bchY	Aquidulcibacter_paucihalophilus_TH1-2	WP_085338184.1	yes
bchZ	Aquidulcibacter_paucihalophilus_TH1-2	WP_085338185.1	yes
bchX	Blastochloris_viridis_ATCC_19567	WP_055036363.1	yes
bchY	Blastochloris_viridis_ATCC_19567	WP_082416608.1	yes
bchZ	Blastochloris_viridis_ATCC_19567	WP_055036364.1	yes
bchX	Ca_Chlorobium_phaeoferrooxidans_KB01	WP_076792396.1	yes
bchY	Ca_Chlorobium_phaeoferrooxidans_KB01	WP_076789165.1	yes
bchZ	Ca_Chlorobium_phaeoferrooxidans_KB01	WP_076792920.1	yes
bchX	Ca_Chloroheliaceae_bin_L227_5C	Chx_L227_5C_00143	yes
bchY	Ca_Chloroheliaceae_bin_L227_5C	Chx_L227_5C_00142	yes
bchZ	Ca_Chloroheliaceae_bin_L227_5C	Chx_L227_5C_00141	yes
bchX	Ca_Chloroploca_asiatica_B7-9	WP_097651699.1	yes
bchY	Ca_Chloroploca_asiatica_B7-9	WP_097653589.1	yes
bchZ	Ca_Chloroploca_asiatica_B7-9	WP_097653588.1	yes
bchX	Ca_Chx_allophototropha_L227-S17	Capt_03668	yes
bchY	Ca_Chx_allophototropha_L227-S17	Capt_03669	yes
bchZ	Ca_Chx_allophototropha_L227-S17	Capt_03670	yes
bchX	Ca_Eremiobacterota_bin_bog_1492	PLFC01000106.1_7	yes
bchY	Ca_Eremiobacterota_bin_bog_1492	PLFC01000106.1_5	yes
bchZ	Ca_Eremiobacterota_bin_bog_1492	PLFC01000106.1_4	yes
bchX	Ca_Oscillochloris_fontis_Chuk17	WP_129632242.1	yes
bchY	Ca_Oscillochloris_fontis_Chuk17	WP_129627420.1	yes
bchZ	Ca_Oscillochloris_fontis_Chuk17	WP_129627423.1	yes
bchX	Ca_Thermochlorobacter_aerophilum_OS	RFM24537.1	yes
bchY	Ca_Thermochlorobacter_aerophilum_OS	RFM23516.1	yes
bchZ	Ca_Thermochlorobacter_aerophilum_OS	RFM24144.1	yes
bchX	Ca_Thermochlorobacteriaceae_bin_GBChlB	WP_035401964.1	yes
bchY	Ca_Thermochlorobacteriaceae_bin_GBChlB	WP_035404459.1	yes
bchZ	Ca_Thermochlorobacteriaceae_bin_GBChlB	WP_035404536.1	yes
bchX	Ca_Thermofonsia_bin_JP3-7	PJF48825.1	yes
bchY	Ca_Thermofonsia_bin_JP3-7	PJF48827.1	yes
bchZ	Ca_Thermofonsia_bin_JP3-7	PJF48828.1	yes
bchX	Ca_Viridilinea_halotolerans_Chok-6	RRR76503.1	yes
bchY	Ca_Viridilinea_halotolerans_Chok-6	RRR77747.1	yes
bchZ	Ca_Viridilinea_halotolerans_Chok-6	RRR77746.1	yes
bchX	Ca_Viridilinea_mediisalina_Kir15-3F	WP_097644601.1	yes
bchY	Ca_Viridilinea_mediisalina_Kir15-3F	WP_097646080.1	yes
bchZ	Ca_Viridilinea_mediisalina_Kir15-3F	WP_097646081.1	yes
bchX	Chloracidobacterium_sp_CP2_5A	OYT71130.1	yes
bchY	Chloracidobacterium_sp_CP2_5A	OYT72022.1	yes
bchZ	Chloracidobacterium_sp_CP2_5A	OYT71974.1	yes
bchX	Chloracidobacterium_thermophilum_B	WP_014099429.1	yes
bchY	Chloracidobacterium_thermophilum_B	WP_081464786.1	yes
bchZ	Chloracidobacterium_thermophilum_B	WP_014100014.1	yes
bchX	Chloracidobacterium_thermophilum_OC1	WP_058866324.1	yes
bchY	Chloracidobacterium_thermophilum_OC1	WP_058867187.1	yes
bchZ	Chloracidobacterium_thermophilum_OC1	WP_058867225.1	yes
bchX	Chlorobaculum_limnaeum_DSM_1677	WP_157098332.1	yes
bchY	Chlorobaculum_limnaeum_DSM_1677	WP_157098428.1	yes
bchZ	Chlorobaculum_limnaeum_DSM_1677	WP_069810950.1	yes
bchX	Chlorobaculum_parvum_NCIB_8327	WP_012501991.1	yes
bchY	Chlorobaculum_parvum_NCIB_8327	WP_156773450.1	yes
bchZ	Chlorobaculum_parvum_NCIB_8327	WP_012501382.1	yes
bchX	Chlorobaculum_tepidum_TLS	NP_662309.1	yes
bchY	Chlorobaculum_tepidum_TLS	NP_662705.1	yes
bchZ	Chlorobaculum_tepidum_TLS	NP_662999.1	yes
bchX	Chlorobium_chlorochromatii_CaD3	WP_011361446.1	yes
bchY	Chlorobium_chlorochromatii_CaD3	WP_156772608.1	yes
bchZ	Chlorobium_chlorochromatii_CaD3	WP_011362729.1	yes
bchX	Chlorobium_limicola_DSM_245	WP_012465855.1	yes
bchY	Chlorobium_limicola_DSM_245	WP_012466933.1	yes
bchZ	Chlorobium_limicola_DSM_245	WP_012465137.1	yes
bchX	Chlorobium_luteolum_DSM_273	WP_011358154.1	yes
bchY	Chlorobium_luteolum_DSM_273	WP_011357105.1	yes
bchZ	Chlorobium_luteolum_DSM_273	WP_011356890.1	yes
bchX	Chlorobium_phaeobacteroides_BS1	WP_012474370.1	yes
bchY	Chlorobium_phaeobacteroides_BS1	WP_153304020.1	yes
bchZ	Chlorobium_phaeobacteroides_BS1	WP_012473639.1	yes
bchX	Chlorobium_phaeobacteroides_DSM_266	WP_011745616.1	yes
bchY	Chlorobium_phaeobacteroides_DSM_266	WP_150081226.1	yes
bchZ	Chlorobium_phaeobacteroides_DSM_266	WP_011746265.1	yes
bchX	Chlorobium_phaeoclathratiforme_BU-1	WP_012507757.1	yes
bchY	Chlorobium_phaeoclathratiforme_BU-1	WP_150085859.1	yes
bchZ	Chlorobium_phaeoclathratiforme_BU-1	WP_012507013.1	yes
bchX	Chlorobium_phaeovibrioides_DSM_265	WP_011890476.1	yes
bchY	Chlorobium_phaeovibrioides_DSM_265	WP_155811674.1	yes
bchZ	Chlorobium_phaeovibrioides_DSM_265	WP_011889443.1	yes
bchX	Chloroflexi_bin_J036	RMG64427.1	yes
bchY	Chloroflexi_bin_J036	RMG64429.1	yes
bchZ	Chloroflexi_bin_J036	RMG64430.1	yes
bchX	Chloroflexus_aggregans_DSM_9485	WP_085953557.1	yes
bchY	Chloroflexus_aggregans_DSM_9485	WP_012616137.1	yes
bchZ	Chloroflexus_aggregans_DSM_9485	WP_012616138.1	yes
bchX	Chloroflexus_aurantiacus_J-10-fl	YP_001634056.1	yes
bchY	Chloroflexus_aurantiacus_J-10-fl	YP_001637372.1	yes
bchZ	Chloroflexus_aurantiacus_J-10-fl	YP_001637373.1	yes
bchX	Chloroflexus_islandicus_isl-2	WP_012256323.1	yes
bchY	Chloroflexus_islandicus_isl-2	WP_066787220.1	yes
bchZ	Chloroflexus_islandicus_isl-2	WP_066787216.1	yes
bchX	Chloroflexus_sp_MS-G	WP_031460355.1	yes
bchY	Chloroflexus_sp_MS-G	WP_035419716.1	yes
bchZ	Chloroflexus_sp_MS-G	WP_031459827.1	yes
bchX	Chloroflexus_sp_Y-396-1	WP_028457134.1	yes
bchY	Chloroflexus_sp_Y-396-1	WP_028459517.1	yes
bchZ	Chloroflexus_sp_Y-396-1	WP_028459516.1	yes
bchX	Chlorothrix_halophila	HHOIAMFO_03178	yes
bchY	Chlorothrix_halophila	HHOIAMFO_02502	yes
bchZ	Chlorothrix_halophila	HHOIAMFO_02501	yes
bchX	Congregibacter_litoralis_KT71	WP_008296332.1	yes
bchY	Congregibacter_litoralis_KT71	WP_008296331.1	yes
bchZ	Congregibacter_litoralis_KT71	WP_008296330.1	yes
bchX	Erythrobacter_longus_DSM_6997	WP_034959639.1	yes
bchY	Erythrobacter_longus_DSM_6997	WP_152553536.1	yes
bchZ	Erythrobacter_longus_DSM_6997	WP_034959636.1	yes
bchX	Fulvimarina_pelagi_HTCC2506	WP_148227680.1	yes
bchY	Fulvimarina_pelagi_HTCC2506	WP_007067479.1	yes
bchZ	Fulvimarina_pelagi_HTCC2506	WP_007067480.1	yes
bchX	Gemmatimonas_phototrophica_AP64	WP_043581339.1	yes
bchY	Gemmatimonas_phototrophica_AP64	WP_053334449.1	yes
bchZ	Gemmatimonas_phototrophica_AP64	WP_043581338.1	yes
bchX	Halorhodospira_halophila_SL1	WP_011814396.1	yes
bchY	Halorhodospira_halophila_SL1	WP_011814395.1	yes
bchZ	Halorhodospira_halophila_SL1	WP_011814394.1	yes
bchX	Heliobacterium_modesticaldum_Ice1	WP_012282411.1	yes
bchY	Heliobacterium_modesticaldum_Ice1	WP_083765173.1	yes
